Quels sont les deux éléments nécessaires pour déterminer entièrement une droite dans l'espace ?,Un point et un vecteur directeur.
Donner la formule du rayon $r$ du cercle issu de l'intersection d'une sphère (rayon $R$) et d'un plan (distance $d$).,$r = \sqrt{R^2 - d^2}$
Quelle méthode analytique utilise-t-on pour déterminer l'intersection entre une sphère et une droite ?,"On injecte les expressions de $x(t), y(t), z(t)$ de la droite dans l'équation de la sphère."
"Lors de l'étude de l'intersection sphère-droite, quel type d'équation obtient-on après substitution ?",Une équation du second degré d'inconnue $t$ (le paramètre).
Intersection sphère-droite : que signifie un discriminant $\Delta > 0$ ?,La droite est sécante à la sphère en deux points distincts.
Intersection sphère-droite : que signifie un discriminant $\Delta = 0$ ?,La droite est tangente à la sphère en un point unique.
Intersection sphère-droite : que signifie un discriminant $\Delta < 0$ ?,La droite et la sphère n'ont aucun point d'intersection.
"Si $\vec{n}(2, 1, -1)$ est normal à un plan $P$, quelle est la forme de son équation cartésienne ?",$2x + y - z + d = 0$
Concept : Bilinéarité du produit vectoriel,$\vec{u} \wedge (\vec{v} + \vec{w}) = \vec{u} \wedge \vec{v} + \vec{u} \wedge \vec{w}$ et $(\lambda\vec{u}) \wedge \vec{v} = \lambda(\vec{u} \wedge \vec{v})$.
"Comment appelle-t-on le repère $(O; \vec{i}, \vec{j}, \vec{k})$ nécessaire pour définir analytiquement le produit vectoriel ?",Un repère orthonormé direct.
Vrai ou Faux : Un plan peut être dirigé par deux vecteurs colinéaires.,Faux (ils doivent être non colinéaires).
"Dans l'espace, une droite orthogonale à un plan est-elle orthogonale à toute droite de l'espace ?","Non, seulement à toutes les droites contenues dans ce plan."
"Quelle est la condition sur les réels $a, b, c$ pour que $ax+by+cz+d=0$ soit l'équation d'un plan ?","$a, b, c$ ne doivent pas être tous nuls simultanément."
